,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
94,Likelihood,5e-05,False,128.0,1024.0,1024.0,0.5,0.5,0.0,0.5,Adam,Tanh,False,1.1971827745437622
95,Likelihood,0.0001,False,64.0,2048.0,2048.0,0.0,0.0,0.0,0.1,Adagrad,Relu,False,1.2810653448104858
96,Likelihood,1e-05,False,128.0,2048.0,2048.0,0.1,0.3,0.0,0.1,RMSProp,LeakyRelu,False,1.2981672286987305
97,MSE,1e-05,False,32.0,4096.0,2048.0,0.5,0.3,0.0,0.3,RMSProp,Relu,False,1.1794432401657104
98,MSE,0.0001,True,32.0,4096.0,2048.0,0.3,0.0,1e-05,0.3,Adam,Relu,True,1.162345290184021
99,MSE,5e-06,True,32.0,1024.0,512.0,0.3,0.5,0.0,0.3,RMSProp,Sigmoid,True,1.2073899507522583
100,MSE,0.0001,True,128.0,4096.0,512.0,0.1,0.0,0.0,0.0,Adagrad,Tanh,True,1.3055819272994995
101,MSE,5e-05,True,64.0,1024.0,2048.0,0.1,0.1,0.0,0.3,Adagrad,Tanh,False,1.2607594728469849
102,MSE,1e-05,True,128.0,1024.0,2048.0,0.3,0.5,0.0,0.3,RMSProp,Tanh,True,1.156279683113098
103,Likelihood,5e-06,True,128.0,2048.0,512.0,0.0,0.1,0.0,0.1,RMSProp,Sigmoid,False,1.362377047538757
104,MSE,5e-05,True,64.0,2048.0,2048.0,0.5,0.1,0.0,0.1,Adagrad,Tanh,True,1.3443009853363037
105,Likelihood,5e-05,False,128.0,1024.0,2048.0,0.5,0.5,0.001,0.3,Adam,LeakyRelu,True,1.252885103225708
106,MSE,1e-05,False,32.0,4096.0,1024.0,0.3,0.1,0.0,0.3,RMSProp,LeakyRelu,False,1.0841745138168335
107,Likelihood,5e-05,True,128.0,1024.0,2048.0,0.3,0.3,1e-05,0.5,Adam,LeakyRelu,False,1.2713477611541748
108,Likelihood,5e-05,False,32.0,4096.0,2048.0,0.1,0.3,1e-05,0.3,Adam,Relu,False,1.2033878564834597
109,MSE,0.0001,True,64.0,4096.0,1024.0,0.1,0.1,0.0001,0.1,Adam,Sigmoid,True,1.1538816690444946
110,Likelihood,0.0001,True,64.0,1024.0,512.0,0.1,0.0,0.0,0.0,Adagrad,Sigmoid,True,1.3376446962356567
111,Likelihood,1e-05,True,32.0,2048.0,512.0,0.5,0.5,0.0,0.1,RMSProp,Tanh,True,0.9645843505859376
112,MSE,5e-05,True,32.0,4096.0,512.0,0.5,0.3,0.0001,0.5,Adam,Relu,False,1.1794748306274414
113,Likelihood,5e-05,False,64.0,4096.0,2048.0,0.5,0.5,0.0,0.3,Adagrad,Sigmoid,True,1.3090530633926392
114,MSE,5e-05,True,128.0,2048.0,1024.0,0.1,0.3,0.0,0.3,Adagrad,LeakyRelu,False,1.4711673259735107
115,Likelihood,0.0001,False,64.0,4096.0,2048.0,0.0,0.1,0.0,0.1,Adagrad,LeakyRelu,True,1.3266894817352295
116,MSE,5e-05,True,32.0,4096.0,2048.0,0.3,0.3,0.0,0.3,Adam,Sigmoid,True,1.1747987270355225
117,Likelihood,1e-05,True,64.0,1024.0,1024.0,0.0,0.0,0.0,0.1,RMSProp,Tanh,False,0.9894431829452516
